new_cases;new_deaths;country;population_density
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
1;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
2;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
77;5;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
234;4;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
1023;18;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
3229;113;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
4683;439;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
5341;355;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
7239;542;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
9493;289;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
12681;386;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
18083;453;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
21292;462;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
26939;542;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
34261;809;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
43346;1678;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
51240;1543;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
63390;2122;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
76395;2194;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
94070;1831;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
112320;2004;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
125864;1955;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
125623;2536;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
114520;2426;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
90720;2938;;
